m,discount_factor,result
-3,0.93,"{'both_state_and_action_information': {'average_cooperation': 0.145, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               49.5        14.5
1      Defection               78.0        85.5}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8012.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               69.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5117.0       100.0}}"
-3,0.9450000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.145, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               84.0        14.5
1      Defection               81.0        85.5}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8217.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               71.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5116.0       100.0}}"
-3,0.9600000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.2, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               79.0        20.0
1      Defection               87.0        80.0}, 'only_action_history_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8480.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               75.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5113.0       100.0}}"
-3,0.9750000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.273, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation              130.0        27.3
1      Defection               99.0        72.7}, 'only_action_history_information': {'average_cooperation': 0.03, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0         1.8
1      Defection             8495.0        98.2}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               84.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5116.0       100.0}}"
-3,0.9900000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.618, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               58.5        61.8
1      Defection              120.0        38.2}, 'only_action_history_information': {'average_cooperation': 0.127, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0         9.1
1      Defection             7497.0        78.2
2          Mixed            10000.0        12.7}, 'only_state_information': {'average_cooperation': 0.326, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               60.5        32.7
1      Defection              108.0        67.3}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5109.0       100.0}}"
-4,0.93,"{'both_state_and_action_information': {'average_cooperation': 0.145, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               71.5        14.5
1      Defection               83.0        85.5}, 'only_action_history_information': {'average_cooperation': 0.002, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8067.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               73.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5134.0       100.0}}"
-4,0.9450000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.182, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               68.5        18.2
1      Defection               89.0        81.8}, 'only_action_history_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8443.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               77.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5137.0       100.0}}"
-4,0.9600000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.255, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               74.0        25.5
1      Defection               98.0        74.5}, 'only_action_history_information': {'average_cooperation': 0.006, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             8535.0       100.0}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection               84.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5137.0       100.0}}"
-4,0.9750000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.435, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation             9405.0        43.6
1      Defection              112.0        56.4}, 'only_action_history_information': {'average_cooperation': 0.085, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0         5.5
1      Defection             7824.0        89.1
2          Mixed            10000.0         5.5}, 'only_state_information': {'average_cooperation': 0.0, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection              100.0       100.0}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5136.0       100.0}}"
-4,0.9900000000000001,"{'both_state_and_action_information': {'average_cooperation': 0.746, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               47.0        74.5
1      Defection              184.5        25.5}, 'only_action_history_information': {'average_cooperation': 0.11, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation            10000.0         7.3
1      Defection             7168.0        81.8
2          Mixed            10000.0        10.9}, 'only_state_information': {'average_cooperation': 0.634, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0    Cooperation               48.0        63.6
1      Defection              147.0        36.4}, 'no_information': {'average_cooperation': 0.003, 'basin_of_attraction_size':   Classification  MedianTimetoReach  Percentage
0      Defection             5137.0       100.0}}"
